,WWTP_name,geometry
2625,Plant_148199560,POINT (-120.11339888322583 35.97767097512121)
2628,Plant_152079640,POINT (-116.88994225136639 35.42103640846901)
2629,Middletown Community Wastewater Treatment Plant,POINT (-122.64791466679937 38.767508932028875)
2630,Plant_158012250,POINT (-122.92333413363855 39.114376580819886)
2632,Plant_159377057,POINT (-120.75197765244133 35.3244807907919)
2656,Plant_175355334,POINT (-119.3058684883699 35.7696881072485)
2658,Plant_175503094,POINT (-119.38744786375091 35.59514688094287)
2659,Hill Canyon Wastewater Treatment Plant,POINT (-118.92325579036952 34.21145378146592)
2660,Treasure Island Waste Water Treatment Plant,POINT (-122.36960098409516 37.83057908200514)
2661,Terminal Island Treatment Plant,POINT (-118.26308270595536 33.74382942859445)
2662,Plant_184367054,POINT (-121.26246816250723 37.79360071440068)
2663,Plant_184367310,POINT (-121.38645048632975 38.089753378822074)
2664,Plant_184367944,POINT (-121.55243599024296 37.797239602895765)
2665,Lathrop Consolidated Treatment Facility,POINT (-121.2867814317614 37.79505834471581)
2668,Plant_203308293,POINT (-120.67287540005752 35.25376083972028)
2671,Plant_203425369,POINT (-121.34150875429273 36.420387762011856)
2680,Polonio Pass Treatment Plant,POINT (-120.22498781933662 35.7367613780854)
2681,Orange County Sanitation District Plant No. 2,POINT (-117.95779208024696 33.63878470976691)
2682,Orange County Sanitation District Plant No. 1,POINT (-117.94097910192454 33.69079726498223)
2684,Plant_212505830,POINT (-120.68762366986023 35.64910877455744)
2700,Mid-valley Water Reclamation Plant #4,POINT (-116.12348755730392 33.589757827058214)
2701,Plant_220797070,POINT (-120.63337526212925 35.141256819530106)
2705,Water treatment plant,POINT (-122.48858036169379 40.626418037499086)
2706,Tapia Wastewater Treatment Plant,POINT (-118.70891577740474 34.081849968060915)
2707,Desert Center Wastewater Ponds,POINT (-115.38099966782039 33.742742701681834)
2709,Lompoc Waste Water Treatment Plant,POINT (-120.48202172442839 34.66207541256718)
2710,Southeast Water Pollution Control,POINT (-122.39088686151892 37.74200950626435)
2779,Plant_241050333,POINT (-119.8968414192942 36.70007810986766)
2780,Plant_248201627,POINT (-119.31039061646078 35.95829768553715)
2783,UC Davis Wastewater Treatment Plant,POINT (-121.75456687806738 38.52274190590397)
2784,Plant_259445350,POINT (-124.15994277537075 40.59009198687673)
2785,Ellis Creek Water Recycling Facility,POINT (-122.58345221631104 38.224596360349665)
2786,Needles Waste Water Treatment Plant,POINT (-114.59246046692935 34.82906406883081)
2787,Big Bear Area Regional Wastewater Agency,POINT (-116.81909754161363 34.27035391687662)
2788,Regional Treatment Plant,POINT (-117.70533115956523 33.53842963932411)
2789,River Reclamation Facility No.2,POINT (-117.55626423922863 33.88181728596694)
2793,Plant_291231765,POINT (-120.7507038507109 35.32343881197361)
2794,Plant_294596860,POINT (-121.10324582878482 35.5670143284601)
2795,Plant_297125701,POINT (-120.51928050547608 37.32002604236567)
2797,June Lake Wastewater Treatment Facility,POINT (-119.09212724125386 37.876164009199506)
2798,Plant_303864915,POINT (-117.33449962335018 33.24856334951146)
2800,Plant_303867756,POINT (-117.33357841832579 33.24827711886948)
2804,Oro Loma Sanitary District,POINT (-122.15861455153895 37.66725685356633)
2805,Plant_316112763,POINT (-118.37303077893044 37.355787718772405)
2808,Quicy County Services District Wastewater Treatment Plant,POINT (-120.93973070236213 39.94815781023972)
2809,Plant_330594948,POINT (-120.22426485000933 35.735522340994095)
2812,Plant_333132612,POINT (-116.66533475872595 35.250598779865115)
2824,Plant_355604697,POINT (-122.5536061384715 38.10012313584884)
2826,Ukiah Wastewater Treatment Plant,POINT (-123.18812058090055 39.11196118115111)
2839,Plant_371901409,POINT (-117.37118713975941 33.28793771784583)
2856,Ryder Street treatment plant,POINT (-122.25122620319948 38.09188856028931)
2858,Plant_398298078,POINT (-117.32792542469058 34.77300569725196)
2862,Plant_421513474,POINT (-117.19004821524365 33.53358914163236)
2863,Plant_422084211,POINT (-117.12057083698951 34.078197561653155)
2864,Plant_422097164,POINT (-117.07478423362946 34.07286555502283)
2867,City of Benicia Wastewater Treatment Plant,POINT (-122.15001389817554 38.04483124272282)
2868,Plant_438360048,POINT (-117.21535839555777 33.86637521917012)
2869,Plant_439820568,POINT (-123.81481094687112 39.43901645052514)
2870,Central Marin Sanitation Agency,POINT (-122.49517828558832 37.948557667044305)
2871,Plant_445337104,POINT (-117.60999364661731 33.892361238847386)
2873,City of Rialto Wastewater Treatment Plant,POINT (-117.36098864636476 34.05371654069438)
2874,Plant_451605073,POINT (-117.39243674910225 33.231582106951016)
2880,3A Treatment Plant,POINT (-117.67288058934848 33.576221242072066)
2882,Central Costa Costa Sanitary District,POINT (-122.06766721990704 38.003769149500684)
2883,Plant_474329120,POINT (-121.55576080146948 39.51765009587213)
2890,Plant_514974503,POINT (-117.69484793225678 33.98137876082071)
2892,San Jacinto Valley Regional Water Reclamation Facility,POINT (-117.0158018510437 33.79815212590829)
2893,Tahoe-Truckee Sanitation Agency,POINT (-120.12694468713228 39.33985863089233)
2894,Plant_540105716,POINT (-120.62421556869776 35.100512661626624)
2896,Lester J. Berglund Water Treatment Plant,POINT (-117.01685665982038 33.006357915355316)
2899,Palm Springs Wastewater Treatment,POINT (-116.49832267339316 33.80513422769737)
2900,Clear Creek Wastewater Treatment Plant,POINT (-122.36378127731003 40.49908676896431)
2901,Plant_579216905,POINT (-122.38445093543913 40.66110103399595)
2902,Mountain View Sanitation District,POINT (-122.10184313171628 38.01988207382249)
2904,Plant_590236018,POINT (-121.1058215716382 38.888333845203185)
2905,Plant_590238360,POINT (-121.8414800133437 38.01662935838235)
