,WWTP_name,geometry,centroid
2614,Perris Valley Regional Water Reclamation Facility,"POLYGON ((-117.2020215 33.7613629, -117.1908979 33.7547369, -117.1906743 33.7545766, -117.1903845 33.7543259, -117.19023 33.7541412, -117.1900623 33.7538893, -117.1899461 33.753641, -117.189874 33.7534098, -117.1898299 33.7531383, -117.1898225 33.7529255, -117.1898405 33.7504239, -117.1957071 33.7504227, -117.1958616 33.7504263, -117.2020449 33.7504256, -117.2020215 33.7613629))",POINT (-117.19695979437282 33.754379497525974)
2615,Deer Creek Wastewater Treatment Plant,"POLYGON ((-120.9825527 38.6268562, -120.9832887 38.6262685, -120.9838101 38.6263224, -120.9847081 38.6267224, -120.9848452 38.6267799, -120.9857901 38.6269275, -120.9860011 38.6270304, -120.9861296 38.6271656, -120.98629 38.6274682, -120.9862825 38.6276579, -120.98628 38.6277206, -120.9862286 38.6279301, -120.9855854 38.6286172, -120.9853375 38.6288102, -120.9852922 38.6288483, -120.9852057 38.6289617, -120.9851083 38.6291079, -120.9849851 38.6292083, -120.9848757 38.629341, -120.9844517 38.6295316, -120.9837518 38.6287676, -120.9834557 38.6285597, -120.9834786 38.6280096, -120.98342 38.6276571, -120.9832301 38.6275493, -120.9828617 38.6276652, -120.982816 38.6276444, -120.9827828 38.6276106, -120.9827494 38.6276239, -120.9827347 38.6276591, -120.9827078 38.6276699, -120.9826453 38.6275789, -120.9826479 38.6275407, -120.9826713 38.6274894, -120.9826899 38.6273397, -120.9826714 38.6272755, -120.9826477 38.6272443, -120.9825905 38.6272098, -120.9824595 38.6271344, -120.9824894 38.626979, -120.9825527 38.6268562))",POINT (-120.98444591692618 38.62771449974697)
2616,Waste Water Treatment Plant,"POLYGON ((-121.4230039 39.0879648, -121.4236727 39.0874249, -121.4245289 39.0873661, -121.4246493 39.0876153, -121.4258934 39.088041, -121.4259246 39.0896607, -121.4248277 39.0897023, -121.4229102 39.089768, -121.4220273 39.0892939, -121.4229771 39.0884113, -121.4230039 39.0879648))",POINT (-121.42421951921222 39.088726130044954)
2619,Plant_133950618,"POLYGON ((-117.6076353 33.5423239, -117.6080026 33.5420972, -117.6082379 33.541952, -117.608538 33.5417667, -117.6091653 33.5418733, -117.6091943 33.5418782, -117.609379 33.5420502, -117.6096417 33.5422947, -117.6098624 33.5421661, -117.6098639 33.5416738, -117.6099876 33.5415534, -117.6103888 33.5415283, -117.6104949 33.5415529, -117.6106631 33.5421718, -117.6106564 33.5423955, -117.6105773 33.5424931, -117.6105316 33.5425495, -117.6102488 33.542633, -117.6100885 33.5427107, -117.6104221 33.5434888, -117.6095459 33.5437696, -117.6094353 33.5439633, -117.6094704 33.544055, -117.6092227 33.5442579, -117.6091201 33.5442134, -117.6089617 33.544285, -117.6089303 33.544538, -117.6086318 33.5446996, -117.6082429 33.5447396, -117.6080876 33.5449368, -117.6079614 33.5450465, -117.6077692 33.5450239, -117.6067676 33.5456981, -117.6063454 33.5457405, -117.6054915 33.5461244, -117.6051217 33.5461608, -117.6047744 33.5461949, -117.604501 33.5457712, -117.604747 33.5448608, -117.6055954 33.5443711, -117.6058704 33.5441833, -117.6073509 33.5431723, -117.6075523 33.5429324, -117.6075924 33.5426756, -117.6076353 33.5423239))",POINT (-117.60770373006021 33.543903835529)
2624,Plant_147936725,"POLYGON ((-121.4647662 38.4464995, -121.4648409 38.447417, -121.4649118 38.4478472, -121.4672252 38.4478895, -121.4672286 38.4465717, -121.4688356 38.4465649, -121.4691018 38.4466841, -121.4694196 38.4469215, -121.4695202 38.4469583, -121.4699775 38.4470097, -121.4740598 38.4469803, -121.4747277 38.4488856, -121.4748625 38.449197, -121.4748484 38.4507089, -121.4749825 38.4508013, -121.4751032 38.4508223, -121.4767849 38.450816, -121.476903 38.4508875, -121.4769727 38.4509652, -121.4770398 38.450982, -121.4795584 38.4509799, -121.4792284 38.4514147, -121.4783219 38.4533325, -121.4783071 38.4537294, -121.4783031 38.4544751, -121.4782266 38.4546106, -121.4781448 38.4546704, -121.4780483 38.4547125, -121.4778471 38.4547387, -121.4769606 38.4547482, -121.4768077 38.4547702, -121.4766616 38.4548332, -121.4764979 38.4549477, -121.4764322 38.4550454, -121.4756437 38.4562321, -121.4755552 38.4563067, -121.4754184 38.4563854, -121.4752601 38.4564253, -121.4749168 38.4564694, -121.4728904 38.4567362, -121.4726543 38.4567509, -121.4724103 38.4567372, -121.4690548 38.4562626, -121.4688885 38.4562227, -121.4687276 38.4561449, -121.4685693 38.4560294, -121.4683212 38.4557868, -121.4681214 38.4556681, -121.467939 38.4556251, -121.4678398 38.4556156, -121.4655599 38.4555946, -121.4654244 38.4555621, -121.4652883 38.4554922, -121.4613077 38.4527643, -121.4609176 38.4520363, -121.4603748 38.4517577, -121.4601424 38.4516384, -121.4597202 38.4515168, -121.459102 38.445935, -121.459879 38.4458754, -121.4601097 38.4461338, -121.4602974 38.4463291, -121.4604959 38.446478, -121.4631553 38.4464769, -121.4642954 38.4464765, -121.4647662 38.4464995))",POINT (-121.46880771120144 38.45137792773652)
2625,Plant_148199560,"POLYGON ((-120.1109984 35.9767615, -120.1113151 35.9767589, -120.1146669 35.976779, -120.1156453 35.9767849, -120.1158487 35.977041, -120.1158509 35.9784937, -120.1156344 35.9785097, -120.1147796 35.9785105, -120.1146044 35.9785897, -120.111327 35.9785798, -120.1110205 35.9785773, -120.1109984 35.9767615))",POINT (-120.11339888322583 35.97767097512121)
2632,Plant_159377057,"POLYGON ((-120.7519383 35.3244487, -120.7519777 35.3244354, -120.752017 35.3244487, -120.7520333 35.3244808, -120.752017 35.3245129, -120.7519777 35.3245262, -120.7519383 35.3245129, -120.751922 35.3244808, -120.7519383 35.3244487))",POINT (-120.75197765244133 35.3244807907919)
2656,Plant_175355334,"POLYGON ((-119.3086976 35.7686097, -119.3086823 35.7708208, -119.3030673 35.7707695, -119.303025 35.76856, -119.3086976 35.7686097))",POINT (-119.3058684883699 35.7696881072485)
2658,Plant_175503094,"POLYGON ((-119.384777 35.5978649, -119.3848563 35.5924349, -119.3850914 35.592436, -119.3885213 35.5924701, -119.389282 35.5924775, -119.3892521 35.5930969, -119.3892486 35.5937021, -119.3894714 35.5937268, -119.3898304 35.5937287, -119.3902058 35.5937498, -119.3902027 35.5942665, -119.3911731 35.5942716, -119.3911354 35.5957916, -119.3911368 35.595882, -119.3893902 35.5958733, -119.3893179 35.5978714, -119.3891093 35.5978706, -119.3865081 35.5978604, -119.386264 35.5978618, -119.384999 35.5978688, -119.384777 35.5978649))",POINT (-119.38744786375091 35.59514688094287)
2659,Hill Canyon Wastewater Treatment Plant,"POLYGON ((-118.9237564 34.2114939, -118.9234905 34.2115542, -118.9233326 34.2116017, -118.9231588 34.211686, -118.9229254 34.2118792, -118.9227192 34.2120726, -118.9226592 34.2121555, -118.922619 34.212231, -118.9225782 34.2123342, -118.9225298 34.2125827, -118.9225121 34.2127424, -118.9224412 34.2130013, -118.9223862 34.213097, -118.9219156 34.213719, -118.9217947 34.2138892, -118.9217662 34.2139617, -118.9217632 34.2140205, -118.9217111 34.2140827, -118.9216404 34.2141405, -118.9216116 34.2141843, -118.9215141 34.2141456, -118.9213457 34.2145374, -118.9211338 34.2149289, -118.9210817 34.2149907, -118.9209899 34.2150167, -118.9205824 34.2149241, -118.9199978 34.214901, -118.9199131 34.2148953, -118.9198744 34.2148088, -118.9200269 34.2147126, -118.9201599 34.2141433, -118.9203352 34.2134053, -118.9214065 34.2116577, -118.9207161 34.2113823, -118.9207175 34.2108266, -118.9208046 34.2107056, -118.9216152 34.2109865, -118.9217623 34.2108672, -118.9218898 34.2108582, -118.9220324 34.210648, -118.9222731 34.2103095, -118.9226808 34.2097106, -118.9231261 34.2096374, -118.9235584 34.209398, -118.9238959 34.209329, -118.9240192 34.2092581, -118.9245074 34.2091826, -118.9248837 34.2093075, -118.9249928 34.2092994, -118.9252739 34.2092789, -118.9256666 34.2092596, -118.9263304 34.2098392, -118.9272794 34.2101916, -118.9274845 34.2110519, -118.9274101 34.2112734, -118.9270119 34.2114425, -118.9267062 34.2114268, -118.9256774 34.2109117, -118.9255561 34.2107619, -118.9242031 34.2110712, -118.9242982 34.2114229, -118.9239187 34.2114517, -118.9237564 34.2114939))",POINT (-118.92325579036952 34.21145378146592)
