,WWTP_name,geometry,centroid
64,Plant_71504410,"POLYGON ((-98.0255159 26.2176749, -98.0255099 26.2174493, -98.0264251 26.217444, -98.0264311 26.2176697, -98.0255159 26.2176749))",POINT (-98.0259705337954 26.21755946140093)
65,Plant_71504418,"POLYGON ((-97.7571097 26.0529865, -97.7571341 26.0529535, -97.7571829 26.052926, -97.7572376 26.052937, -97.7572742 26.0529756, -97.7572803 26.0529976, -97.7572558 26.0530581, -97.757201 26.0530801, -97.7571645 26.0530746, -97.7571401 26.053058, -97.7571219 26.0530415, -97.7571097 26.0529865))",POINT (-97.75719477146919 26.053003396467705)
66,Plant_71504423,"POLYGON ((-97.4498709 26.3203055, -97.4498831 26.3201129, -97.4502006 26.3201404, -97.4501823 26.3203275, -97.4498709 26.3203055))",POINT (-97.45003356274832 26.320221180435823)
67,Plant_71504428,"POLYGON ((-98.1773327 26.516337, -98.1770269 26.5162875, -98.1770758 26.5160563, -98.1773818 26.5161004, -98.1773327 26.516337))",POINT (-98.17720486142096 26.5161954319675)
68,Plant_71504475,"POLYGON ((-97.4451263 26.3146434, -97.4451934 26.3137959, -97.4478738 26.314005, -97.4478433 26.3145167, -97.4478128 26.3148468, -97.4451263 26.3146434))",POINT (-97.44650156956413 26.314322945723816)
69,Plant_71504502,"POLYGON ((-97.832127 26.1687457, -97.8322249 26.1710407, -97.8321029 26.1710902, -97.8309928 26.1710958, -97.8307547 26.1687514, -97.832127 26.1687457))",POINT (-97.83152316883442 26.169898744078473)
70,Plant_71504505,"POLYGON ((-97.4306784 26.3304523, -97.430764 26.3295169, -97.4330173 26.3296491, -97.4329378 26.3306121, -97.4306784 26.3304523))",POINT (-97.43185470799936 26.33005822883105)
71,Plant_71504509,"POLYGON ((-98.3517632 26.4964179, -98.3517204 26.4966381, -98.3513962 26.4965886, -98.3514328 26.496374, -98.3517632 26.4964179))",POINT (-98.35157899389544 26.496504470570553)
72,Plant_71504521,"POLYGON ((-97.4332127 26.3296821, -97.4332739 26.3287192, -97.435515 26.3288789, -97.4354477 26.3298143, -97.4332127 26.3296821))",POINT (-97.434357041666 26.329272984846877)
73,Plant_71504527,"POLYGON ((-97.833676 26.2062687, -97.8336455 26.2062192, -97.8337247 26.2061916, -97.8340847 26.2064117, -97.834164 26.2064062, -97.8341641 26.2063732, -97.8338407 26.2061916, -97.8337247 26.2060871, -97.8337247 26.206032, -97.833804 26.20601, -97.8339139 26.2061311, -97.8342677 26.2063236, -97.8342738 26.2064062, -97.8342068 26.2064943, -97.8341031 26.2065273, -97.833676 26.2062687))",POINT (-97.83397446636899 26.20629429719603)
