WWTP_name,geometry
Plant_41166397,"POLYGON ((-122.0270052 37.0418205, -122.0269715 37.0418301, -122.0269357 37.0418298, -122.0269021 37.0418198, -122.0268749 37.0418013, -122.0268568 37.0417753, -122.0268514 37.0417471, -122.0268584 37.041719, -122.026877 37.0416946, -122.0269049 37.0416768, -122.0269292 37.0416691, -122.0269649 37.0416671, -122.0269994 37.0416749, -122.0270284 37.0416916, -122.0270408 37.041704, -122.0270548 37.0417303, -122.0270568 37.0417588, -122.0270464 37.0417862, -122.0270249 37.041809, -122.0270052 37.0418205))"
Plant_43591807,"POLYGON ((-121.49645 36.49428, -121.496594 36.494181, -121.49668 36.49416, -121.496733 36.494178, -121.497718 36.495068, -121.497976 36.495315, -121.498014 36.49539, -121.497987 36.495441, -121.497825 36.495571, -121.497661 36.495675, -121.497603 36.495696, -121.497557 36.495692, -121.497501 36.495668, -121.496356 36.494565, -121.496287 36.494494, -121.496268 36.494441, -121.496295 36.494401, -121.496345 36.494352, -121.49645 36.49428))"
Sewage Treatment Plant and Regional Pump Station,"POLYGON ((-121.8528947 36.616468, -121.852026 36.615933, -121.8531485 36.6146419, -121.853989 36.615084, -121.8537031 36.6154407, -121.8536714 36.6154867, -121.8536415 36.6155347, -121.8536201 36.6155738, -121.8535955 36.6156225, -121.8535662 36.6156662, -121.8535257 36.6157177, -121.85348 36.6157692, -121.8533397 36.6159184, -121.8532947 36.6159714, -121.8532532 36.616025, -121.8530529 36.616288, -121.8529795 36.6163734, -121.8528947 36.616468))"
Sewage Disposal Plant,"POLYGON ((-120.2656576 37.1019732, -120.2657141 37.1022093, -120.2656473 37.1039268, -120.265786 37.104826, -120.2568606 37.1054729, -120.256747 37.101999, -120.264655 37.101975, -120.2656576 37.1019732))"
Plant_44389440,"POLYGON ((-115.5631415 32.8555781, -115.5636804 32.8555788, -115.563701 32.8539169, -115.5615503 32.8539077, -115.5615463 32.8579391, -115.5631366 32.8579415, -115.5631415 32.8555781))"
Plant_44581519,"POLYGON ((-119.428118 36.538807, -119.427846 36.538804, -119.425031 36.538809, -119.4216944 36.5388674, -119.4218295 36.5328731, -119.4226097 36.5327824, -119.4227404 36.5317454, -119.425395 36.531725, -119.425526 36.531726, -119.425919 36.53173, -119.426051 36.531732, -119.426929 36.531738, -119.429564 36.531757, -119.430443 36.531764, -119.430537 36.531764, -119.430822 36.531765, -119.430891 36.531766, -119.430917 36.531766, -119.431036 36.531767, -119.431394 36.531773, -119.431514 36.531775, -119.43156 36.531775, -119.431701 36.531775, -119.431748 36.531776, -119.431907 36.531777, -119.432384 36.53178, -119.4327091 36.5317987, -119.4326816 36.5325949, -119.4326836 36.5327282, -119.4328498 36.5354983, -119.430482 36.535482, -119.430458 36.53623, -119.430409 36.538157, -119.430385 36.538825, -119.430274 36.538818, -119.428251 36.538809, -119.428224 36.538808, -119.428144 36.538807, -119.428118 36.538807))"
Lode Street Wastewater Facility,"POLYGON ((-121.9751281 36.9606531, -121.9750013 36.9605638, -121.9752574 36.9603316, -121.9752427 36.9603213, -121.9753031 36.9602665, -121.9753194 36.960278, -121.9754749 36.9601371, -121.9756043 36.9602282, -121.9754448 36.9603728, -121.9754601 36.9603836, -121.975406 36.9604327, -121.9753864 36.9604189, -121.9751281 36.9606531))"
Plant_47391062,"POLYGON ((-121.9117485 37.7011453, -121.9129742 37.7010243, -121.9138862 37.700984, -121.9146587 37.701018, -121.9161446 37.7011241, -121.9155599 37.7000057, -121.9158066 37.6999229, -121.9157417 37.6997963, -121.9145353 37.697442, -121.9173543 37.696506, -121.9173155 37.6964293, -121.9167722 37.6953557, -121.9164325 37.694312, -121.9163406 37.6940294, -121.9160243 37.6930376, -121.9155652 37.6915991, -121.9147761 37.6915463, -121.9145153 37.6913229, -121.9144308 37.6910523, -121.9144772 37.690423, -121.9129716 37.6903153, -121.9110441 37.6906439, -121.9098684 37.6908846, -121.9107265 37.6952093, -121.9105924 37.6952305, -121.9117485 37.7011453))"
Plant_47391383,"POLYGON ((-121.9151663 37.6845067, -121.9132975 37.6848877, -121.9149468 37.6895366, -121.9169003 37.6891406, -121.915367 37.6847977, -121.9151663 37.6845067))"
Pleasant Grove Wastewater Treatment Plant,"POLYGON ((-121.378191 38.791869, -121.3782042 38.7919274, -121.3782179 38.7919877, -121.3781137 38.7920717, -121.3779848 38.7921365, -121.3779286 38.7921374, -121.3778817 38.7921137, -121.3777623 38.7920334, -121.3776756 38.7919457, -121.3776627 38.7918946, -121.3776662 38.7918307, -121.3776943 38.7917714, -121.3777201 38.7917385, -121.3777599 38.7917074, -121.3777951 38.7916892, -121.3778899 38.7916636, -121.3779134 38.7916883, -121.3779403 38.7916928, -121.3781101 38.7918471, -121.378191 38.791869))"
